ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets
1988,Shahriar Hossain,42,18,2,0,3230,682,19.05,69.37718619,7.03,147,90,130.06,33,237
1989,Dean Graham Brownlie,34,60,1,1,2293,486,25.79,69.53718619,9.16,237,46,130.16,13,78
1990,Zahid Fazal,45,47,2,3,2389,589,23.2,45.20718619,8.164,141,31,105.96,29,97
1991,Kirk A Edwards,34,138,0,7,3290,494,23.64,69.87718619,9.16,10,77,130.76,62,323
1992,Adnan Mufti,34,146,,,2398,,,34.70718619,5.06,124,72,95.66,22,153
1993,Craig D Wallace,28,33,3,8,2718,347,18.22,56.70718619,4.16,151,19,117.66,19,96
1994,Klass-Jan J van Noortwijk,48,20,1,6,3598,428,46,67.70718619,2.354,89,56,128.66,51,114
1995,Richard B McCosker,72,122,2,0,2008,653,22.86,46.87718619,9.16,153,22,107.76,19,281
1996,Peter Stephen Patrick Handscomb,27,129,3,3,2650,325,29,24.53718619,5.064,7,28,85.16,34,218
1997,Kannaur Lokesh Rahul,26,83,2,5,3686,393,35.22,65.87718619,9.71,228,58,126.76,34,93
1998,Vani V Morea,35,25,3,4,2122,460,26.08,84.70718619,6.495,246,52,145.66,26,80
1999,Blair R Hartland,52,40,2,0,2770,623,20.73,26.70718619,3.87,194,70,87.66,40,215
2000,Nafis Iqbal,33,18,2,2,2414,567,19.31,40.70718619,,90,61,101.66,77,90
2001,Ihsanullah Janat,21,148,3,6,2346,440,21.93,52.20718619,,219,29,112.96,32,305
2002,Lungile L  Bosman,41,131,2,9,2785,305,25.08,80.87718619,,210,85,141.76,65,67
2003,Christopher Mark Wells Read,40,104,0,6,3369,410,17.65,32.87718619,,93,95,,72,96
2004,Gary S Ballance,29,77,2,1,2796,443,21.21,21.70718619,,232,60,,43,44
2005,Paul A Nixon,48,54,0,7,2135,347,21.21,37.53718619,,235,69,,47,72
2006,Zahoor Elahi,48,140,3,6,,507,22.85,42.70718619,,145,55,103.66,19,172
2007,Deryck Lance Murray,75,43,2,2,2784,463,24.58,52.70718619,,60,44,113.66,22,78
2008,Andrew J Pycroft,62,139,2,1,2449,560,17.35,48.37718619,,44,45,109.06,24,212
2009,Stephanus J Myburgh,35,79,2,8,2733,339,24.5,56.70718619,,144,63,117.66,65,180
2010,Chandrakant S Pandit,57,9,0,0,3789,400,20.71,21.70718619,,128,30,82.66,26,178
2011,Llorne G Howell,46,9,4,4,1604,388,23.92,35.70718619,,157,60,96.66,29,147
2012,Alex Tyson Carey,27,140,0,2,2799,359,31.33,66.70718619,,101,48,127.66,16,168
2013,Aldesh V Vadher,44,14,2,1,2580,512,27.8,49.70718619,,118,59,110.66,57,145
2014,Samuel William Billings,27,41,2,2,2238,298,22.58,35.70718619,,155,64,96.66,42,95
2015,Jahurul Islam,32,143,1,2,2336,371,22.5,31.70718619,,55,41,92.66,28,90
2016,Joseph L Denly,32,116,2,1,2829,409,29.78,36.03718619,,108,101,96.86,60,229
2017,Afsar Zazai,25,54,2,0,2799,488,17.6,50.70718619,,8,62,111.66,46,89
2018,Swapnil P Patil,33,122,2,2,2733,404,26.3,39.03718619,,274,57,99.86,37,262
2019,Hamish J W Gardiner,28,98,2,0,2583,396,23.82,129.1071862,,41,81,168.76,46,177
2020,Kenneth J Wadsworth,19,30,0,3,2977,334,,36.50718619,5.064,180,83,91.66,53,108
2021,Mahela L Udawatte,32,111,2,3,2094,384,28.56,35.30718619,9.71,193,37,90.66,19,124
2022,Sameer S Dighe,50,116,1,2,2640,421,23.27,81.30718619,6.495,135,56,128.86,35,264
2023,Ross Edwards,76,100,3,0,2888,349,36.43,54.70718619,3.87,9,25,106.76,30,105
2024,Andrew D Poynter,31,101,2,7,2205,412,19.62,28.10718619,7.03,114,56,84.66,32,221
2025,Sanjeeva Ranatunga,49,9,2,0,2025,526,23,94.10718619,9.16,33,50,139.66,34,254
2026,Jekon Edness,35,54,1,3,2143,402,28,38.10718619,8.164,84,82,92.86,57,70
2027,Heinrich Klaasen,27,13,1,6,2934,291,22.82,43.50718619,9.16,215,61,97.16,48,302
2028,James J Atkinson,28,64,1,6,1652,398,27.78,60.50718619,6.45,113,35,111.66,30,96
2029,James A H Marshall,40,13,1,4,1960,313,25,64.10718619,9.12,38,65,114.66,41,183
2030,Clive T Radley,74,35,1,0,1580,367,83.33,41.50718619,9.75,175,52,95.76,26,163
2031,Robert H Vance,63,51,1,3,3027,481,31,64.90718619,1.48,46,21,115.06,37,43
2032,Alan Turner,68,54,0,1,2791,279,41.17,64.10718619,6.45,42,49,114.66,55,238
2033,Steven M Davies,32,80,1,0,3393,231,30.5,38.10718619,5.49,46,67,92.86,61,115
2034,Brijesh P Patel,66,36,1,3,2847,399,30.38,175.3071862,6.49,96,57,202.66,23,125
2035,Paul R Downton,61,83,0,0,3081,358,16.13,44.90718619,10.89,102,54,98.66,28,163
2036,Hasan Raza,37,12,1,1,1790,480,18.62,42.50718619,7.06,7,72,96.66,19,207
2037,Michael J Di Venuto,45,4,2,0,2583,281,26.78,48.50718619,11.64,21,62,101.66,36,234
2038,Hendrik Erasmus van der Dussen,30,146,3,6,1993,316,120.5,49.70718619,14.97,262,42,102.66,24,138
2039,Kevin J Arnott,57,136,3,1,2539,491,23.8,28.10718619,18.35,31,36,84.66,11,100
2040,Navdeep S Poonia,32,100,1,2,1912,377,11.29,89.70718619,5.064,235,53,135.86,33,51
2041,Gareth J Hopkins,42,34,0,2,1763,311,14.75,52.30718619,9.71,232,46,104.76,26,313
2042,Khurram Manzoor,32,106,3,0,1881,375,33.71,22.10718619,6.495,164,35,79.66,3,92
2043,John P Crawley,47,67,2,1,2918,408,21.36,55.70718619,3.87,125,83,107.66,43,280
2044,Philip Mustard,36,120,1,5,1645,252,23.3,54.50718619,16.79,138,44,106.66,14,144
2045,Travis M Dowlin,42,41,1,1,1750,348,25.33,56.90718619,2.64,47,54,108.66,33,255
2046,Andrew M J Hilditch,62,127,1,0,1698,476,28.25,58.70718619,5.55,212,36,103.76,40,261
2047,John H Edrich,81,39,2,1,1683,325,37.17,44.90718619,3.676,173,30,98.66,22,278
2048,Wasim Bari,70,133,0,0,2044,431,17,48.50718619,4.19,101,51,101.66,18,18
2049,Douglas R Lockhart,43,72,0,1,2187,341,24.22,97.70718619,6.75,15,19,142.66,36,310
2050,Yalaka Venugopal Rao,37,30,1,3,2500,363,24.22,46.10718619,8.167,73,62,99.66,12,295
2051,Vijay Dahiya,45,130,1,3,1859,267,16.62,31.70718619,7.03,120,49,87.66,26,215
2052,Warren K Lees,66,146,0,4,1955,307,11.32,64.10718619,9.16,118,30,114.66,32,84
2053,Freddie R J Coleman,27,97,1,1,1889,344,15.07,38.90718619,8.164,69,34,93.66,21,105
2054,Michael H W Papps,39,17,2,0,2059,342,51.75,70.10718619,9.16,85,30,119.66,12,140
2055,David L Bairstow,5,124,0,1,2690,390,14.71,77.30718619,,182,33,125.66,35,237
2056,Andri R Berenger,27,73,2,0,1973,304,20.5,38.90718619,None,63,45,93.66,48,274
2057,Asif Ali,27,55,1,12,1904,153,28.57,54.50718619,None,200,51,106.66,31,85
2058,Alan P E Knott,72,22,1,1,1945,247,20,18.50718619,None,182,34,76.66,20,312
2059,Moin-Ul-Atiq,54,68,0,0,2163,279,39.8,82.10718619,None,159,48,124.66,35,133
2060,Michael Alexander Jones,21,0,2,1,,271,38.8,31.70718619,,65,37,87.66,16,279
2061,Peter J Ingram,40,19,1,0,1367,238,27.57,61.70718619,5.264759801,133,59,112.66,33,201
2062,Vikram S Rathore,49,46,2,1,1689,321,27.57,83.30718619,5.264759801,10,22,,8,32
2063,Clay J Smith,48,64,1,5,2570,251,16,54.50718619,5.264759801,116,109,,71,311
2064,Trevor N Madondo,11,81,1,1,1985,331,15.92,38.90718619,5.264759801,211,57,93.66,23,178
2065,Shabir Noori,27,86,1,3,2225,300,19.1,25.70718619,5.264759801,21,36,82.66,37,61
2066,Usman Limbada,29,116,1,1,1428,285,18.9,37.70718619,5.264759801,52,3,92.66,15,49
2067,Samantha I De Saram,45,106,0,1,1383,,,20.90718619,,204,66,78.66,29,262
2068,Dale M Richards,42,134,2,3,2038,251,25.57,20.90718619,5.264759801,127,66,78.66,26,127
2069,Stuart W Poynter,28,63,0,0,2836,261,14.75,40.10718619,5.264759801,38,41,94.66,43,168
2070,Surinder C Khanna,62,18,2,2,2177,265,22,47.50718619,5.264759801,117,62,100.76,18,143
2071,Gregory C Dyer,59,91,0,4,2187,227,15.82,32.90718619,5.264759801,200,52,88.66,24,234
2072,Martyn D Moxon,58,0,1,0,1926,325,21.75,42.50718619,5.264759801,91,58,96.66,36,177
2073,Graham R J Roope,26,11,0,2,1547,342,21.63,31.70718619,5.264759801,9,48,87.66,,265
2074,Dogodo Bau,24,64,0,3,2631,319,18.89,22.90718619,5.264759801,275,95,80.06,47,174
2075,Richard A Jones,45,20,1,2,2248,329,33.6,36.70718619,5.264759801,46,58,91.76,58,201
2076,Jeroen Smits,46,8,0,0,1956,358,16.8,30.50718619,5.264759801,34,45,86.66,42,65
2077,Richard S Gabriel,66,26,0,3,1498,360,15.18,30.50718619,5.264759801,65,55,86.66,28,37
2078,John E Morris,54,85,1,0,3337,225,23.86,37.70718619,5.264759801,106,57,92.66,45,118
2079,Haroon Rashid,65,72,1,0,2063,316,20.75,32.90718619,5.264759801,205,25,88.66,52,76
2080,Michael J Lumb,39,61,0,3,2604,203,55,48.20718619,5.264759801,172,45,93.66,51,47
2081,Ghulam A Parkar,63,112,0,0,1802,332,18.33,161.9571862,5.264759801,268,89,169.16,70,320
2082,Temba Bavuma,28,27,0,1,2193,170,80.5,13.95718619,5.264759801,155,31,70.76,16,306
2083,Sanjeewa K L de Silva,43,27,2,0,2391,193,53.67,28.95718619,5.264759801,111,71,80.76,42,271
2084,Mark S Chapman,24,22,0,3,1920,174,40,59.70718619,5.264759801,258,19,101.06,18,294
2085,Justin L Langer,48,90,0,4,3215,180,32,78.20718619,5.264759801,153,66,113.66,20,124
2086,Atul C Bedade,52,51,1,5,2100,183,22.57,69.70718619,5.264759801,118,17,107.86,20,39
2087,Jacob J Martin,46,100,0,0,1761,331,22.57,66.20718619,,217,29,105.66,36,239
2088,Matthew P Maynard,52,110,0,1,1935,225,14.18,63.70718619,5.264759801,280,83,103.86,37,261
2089,Ian J Gould,61,68,0,0,1504,243,12.92,37.95718619,5.264759801,165,27,86.76,32,227
2090,Clifton J Richards,60,130,1,0,2093,264,11.85,80.20718619,5.264759801,78,37,111.66,14,124
2091,Chetandra P S Chauhan,71,53,0,0,1756,301,21.86,34.70718619,5.264759801,24,52,84.66,33,303
2092,Aaron J Redmond,39,10,1,0,1582,259,25.33,42.95718619,5.264759801,229,25,89.96,17,173
2093,Brian F Hastings,78,94,0,0,1928,273,18.88,51.45718619,5.264759801,48,39,95.76,5,22
2094,Graham D Barlow,68,93,1,0,2168,255,29.8,17.95718619,,7,38,73.16,17,298
2095,Amay R Khurasiya,46,98,1,2,2526,188,13.55,63.20718619,5.264759801,273,101,103.66,55,192
2096,Khalid Latif,33,61,1,0,2280,228,29.4,64.95718619,5.264759801,251,65,104.76,26,151
2097,Mohammed Nazimuddin,33,81,0,2,1864,237,13.36,82.70718619,5.264759801,80,64,116.66,53,250
2098,David Williams,55,123,0,0,1625,242,9.19,69.20718619,5.264759801,118,49,107.66,13,117
2099,Joseph A Burns,29,19,1,1,1646,184,24.33,58.70718619,5.264759801,196,35,100.66,11,269
2100,Shawn E Findlay,35,44,1,5,1713,194,20.86,57.95718619,5.264759801,77,84,99.96,36,71
2101,Gyanendra Malla,28,104,1,0,1833,189,23.83,75.20718619,5.264759801,155,41,111.66,9,102
2102,Malachy B Loye,46,90,0,5,1312,184,20.29,62.20718619,5.264759801,113,63,102.86,27,26
2103,Khayelihle Zondo,28,75,1,3,1179,224,35.5,67.45718619,5.264759801,110,22,106.16,42,87
2104,Atse F Buurman,36,124,0,0,1654,180,15.56,34.20718619,5.264759801,194,43,84.06,40,106
2105,Kiplin Dorriga,23,129,1,3,1960,201,34.75,105.2071862,5.264759801,61,16,131.66,27,166
2106,Chirag Suri,24,22,1,1,2974,282,17.25,101.7071862,5.264759801,117,56,129.06,64,126
2107,Kyle Antonio Hope,30,41,0,0,1461,192,,54.20718619,,200,35,97.66,16,265
2108,Lawrence G Rowe,70,None,1,0,2004,244,17,75.20718619,5.264759801,114,52,111.66,34,245
2109,Sunil R D Wettimuny,70,110,2,0,2211,242,68,57.95718619,5.264759801,90,76,99.96,55,170
2110,Patrick A Browne,37,58,0,6,1477,179,33.5,64.70718619,5.264759801,35,15,100.66,16,267
2111,Matthew D Bell,42,125,1,0,2251,268,19,51.20718619,5.264759801,165,23,95.66,25,145
2112,Wedagedara Sadeera Rashen Samarawickrama,23,47,1,0,1726,151,22,63.20718619,5.264759801,84,56,103.66,,319
2113,Brian B Chari,27,123,0,0,2170,305,13.1,57.20718619,5.264759801,122,61,99.66,35,210
2114,Mannava S K Prasad,43,114,1,0,1596,225,14.56,45.20718619,5.264759801,44,51,91.66,25,196
2115,James M Vince,27,36,1,0,,150,26.2,46.70718619,5.264759801,91,29,92.66,38,64
2116,Sajid Ali,55,27,0,0,1838,293,10.83,30.20718619,5.264759801,153,31,81.66,29,262
2117,Robert W Taylor,77,37,0,0,1659,312,13,30.20718619,5.264759801,216,18,81.66,37,70
2118,Timothy J Zoehrer,57,71,1,0,1343,183,10.83,41.20718619,5.264759801,205,25,85.66,20,57
2119,Frank C Hayes,72,8,1,2,1858,235,25.6,49.70718619,5.264759801,14,55,94.66,30,39
2120,Dhiman Ghosh,32,96,0,1,1876,201,14,47.70718619,5.264759801,94,30,93.06,25,78
2121,Thelston R O Payne,62,56,1,0,1348,240,31.5,37.70718619,5.264759801,153,32,86.66,23,53
2122,Charith P Senanayake,56,133,0,0,2320,211,18,55.95718619,5.264759801,77,89,98.76,67,269
2123,Philip A Jaques,39,59,1,1,2311,176,20.83,45.20718619,,76,9,91.66,14,248
2124,Alester Maregwede,37,6,0,2,2447,218,12.4,31.70718619,7.164,178,17,82.66,29,26
2125,Ben M Duckett,24,134,2,1,1340,152,41,34.70718619,9.45,169,61,84.66,35,273
2126,Grant A Paterson,58,15,0,0,2071,327,12.3,103.7071862,2.876,32,65,130.66,17,309
2127,Arun Lal,63,41,1,1,2043,232,9.38,49.70718619,3.674,47,43,,24,232
2128,Chris R M Douglas,29,98,2,1,1745,218,61,55.70718619,8.16,226,66,98.66,28,226
2129,Brenton A Parchment,36,126,0,1,1999,217,17.43,33.45718619,9.78,156,19,83.76,22,202
2130,Sandeep K Gupta,51,2,0,0,2023,220,13.44,41.95718619,7.65,245,69,89.16,22,230
2131,Vijay Yadav,51,128,0,2,1319,116,11.8,34.20718619,8.135,8,25,81.66,35,82
2132,Azam Khan,50,118,1,0,2413,177,23.2,30.20718619,6.46,214,30,81.66,50,90
2133,Benjamin N Cooper,27,10,1,2,1670,96,29,33.20718619,5.167,71,42,83.66,31,89
2134,Hamza Tariq,28,141,1,2,1813,157,16.57,44.70718619,9.75,174,23,91.06,12,204
2135,Gagan K Khoda,44,72,1,0,2398,185,57.5,13.45718619,8.86,130,22,70.16,20,277
2136,Christopher Carter,21,95,0,0,2582,186,12.67,57.70718619,2.45,43,51,99.86,32,68
2137,Farokh M Engineer,81,16,1,0,1673,195,38,52.70718619,,59,70,96.66,29,251
2138,Darren L Maddy,44,106,1,0,2047,206,18.83,62.70718619,,238,62,103.06,38,273
2139,Danza P Hyatt,35,61,0,6,2761,188,14,42.20718619,5.064,210,35,89.66,21,225
2140,Robin D Brown,67,140,0,0,2089,334,15.71,29.70718619,9.71,85,45,81.06,9,64
2141,Scott Stephen McKechnie,27,71,0,1,1752,193,15.43,31.70718619,6.495,214,63,82.66,24,154
2142,Ryan Craig Murray,20,58,0,2,1445,178,27,18.20718619,3.87,21,77,73.66,25,91
2143,Hazratullah Zazai,20,52,1,7,1335,96,26.75,22.70718619,7.03,173,43,76.66,36,250
2144,Steven John Rhodes,54,45,1,1,1570,150,17.83,69.20718619,,9,61,107.66,14,287
2145,Geoffrey Cook,67,121,0,0,1360,261,17.67,32.20718619,,137,42,82.86,41,256
2146,Faruk Ahmed,52,30,1,0,1604,273,15,30.20718619,,35,22,81.66,36,147
2147,Peter M Toohey,64,57,1,0,1972,133,52.5,53.95718619,,186,68,97.16,26,55
2148,Ellukutige R N S Fernando,63,39,0,0,2104,156,20.2,51.70718619,,45,66,87.66,19,193
2149,Wayne Robert James,53,85,0,0,1582,255,14.43,21.03718619,,187,42,72.06,38,167
2150,Timothy A Lloyd,62,80,0,0,1939,228,33.67,96.37718619,,92,39,109.86,36,199
2151,Tabarak Dar,42,49,0,0,2064,175,25.25,37.03718619,,235,44,80.06,30,126
2152,Surinder Amarnath,70,90,1,0,2293,119,33.33,90.70718619,,54,53,106.96,9,28
2153,Shahzaib Hasan,29,90,1,2,2207,113,33.33,36.37718619,5.264759801,193,78,79.86,38,230
2154,Leon V Garrick,42,37,1,0,1461,204,33,48.03718619,5.264759801,20,22,85.76,22,240
2155,Adrian F G Griffith,47,27,0,1,1595,177,14.14,42.03718619,5.264759801,172,41,82.76,25,176
2156,Brian C Rose,68,2,1,0,2305,210,49.5,20.37718619,5.264759801,143,66,71.86,45,112
2157,Leon R Johnson,31,126,1,2,1870,175,16.33,31.70718619,5.264759801,None,26,77.66,29,318
2158,Mohammad Ishaq,55,82,1,0,1203,130,24.5,75.03718619,5.264759801,None,25,99.06,15,308
2159,Robert B Kerr,57,77,1,0,1517,159,32.33,94.37718619,5.264759801,None,40,108.86,7,257
2160,Kwame Tucker,42,37,0,0,1521,246,9.5,37.03718619,5.264759801,132,55,80.06,34,138
2161,Gerhardus F J Liebenberg,46,29,0,0,1245,199,23.5,62.70718619,5.264759801,36,48,92.96,15,179
2162,Vijay Mehra,55,117,0,0,1512,202,18.4,36.70718619,,193,17,79.96,29,268
2163,Dulip Prasamma Samaraweera,47,29,0,0,1795,169,22.75,47.70718619,,147,35,85.66,22,177
2164,Bryan G Murgatroyd,49,73,1,1,1975,145,15,83.37718619,5.264759801,244,52,103.16,36,231
2165,Ajay Ratra,37,120,0,0,1621,127,12.86,41.70718619,5.264759801,173,29,82.66,29,102
2166,Vakkadai B Chandrasekhar,57,16,1,0,1822,163,12.57,43.03718619,,97,29,83.06,21,207
2167,Anil Dalpat,55,31,0,0,1575,136,12.43,20.03718619,,110,6,71.76,24,60
2168,Everton H Mattis,61,116,1,0,1753,190,43,37.70718619,,59,67,,39,146
2169,Rohit Kumar Paudel,16,139,1,0,1374,111,21.5,27.37718619,,19,25,72.76,,246
2170,Pubudu B Dassanayake,48,111,0,0,1326,142,10.63,33.70718619,,49,66,78.66,61,253
2171,Kim J Barnett,58,107,1,0,1789,146,84,123.7071862,5.264759801,259,68,123.66,38,195
2172,Mohammad Younis Ahmed,71,140,1,0,1909,151,42,63.70718619,5.264759801,177,35,93.66,30,280
2173,Alec G Davies,56,59,0,0,1610,154,20.75,65.70718619,5.264759801,135,50,94.66,10,75
2174,Louis J Koen,51,145,0,0,787,169,16.4,75.70718619,5.264759801,241,50,99.66,8,234
2175,Richard D Robinson,72,121,1,1,1538,143,41,61.70718619,,246,17,92.66,16,263
2176,Shahid Wasif,21,None,0,3,,163,11.57,55.37718619,7,219,78,89.16,63,66
2177,Jack N T Vare,33,96,0,0,2357,110,10.13,89.70718619,10,252,45,106.66,48,166
2178,Subramaniam Badrinath,38,36,0,0,1400,172,15.8,155.7071862,6,69,63,137.06,25,239
2179,Martin F Kent,65,108,0,0,1462,133,19.5,45.70718619,3.54,125,22,84.66,11,98
2180,Mark W Rushmere,54,80,0,0,1308,174,19.5,48.70718619,8.46,149,13,85.96,17,113
2181,Sami Aslam,23,68,0,0,1491,117,19.5,43.70718619,9.78,137,54,83.66,10,232
2182,Michael H Tissera,79,62,1,0,2574,148,26,61.70718619,4.65,187,None,92.66,28,144
2183,Christopher A Lynn,28,118,0,3,1798,89,18.75,58.03718619,8.13,213,42,90.76,40,94
2184,Andrew P Sheahan,72,13,1,1,1376,124,25,67.70718619,9.11,131,65,95.66,29,294
2185,Ervin B McSweeney,61,135,0,2,1326,119,8.11,87.70718619,7.12,99,32,105.66,13,225
2186,Craig S Serjeant,67,23,0,1,1406,158,24.33,28.70718619,9.65,115,71,75.96,18,258
2187,Dharshanapriya Sandun Weerakkody,25,117,1,1,1819,66,24.33,37.70718619,8.12,233,72,80.66,51,268
2188,Glenn Blakeney,46,97,0,1,1414,69,36,113.7071862,1.06,176,29,118.66,25,126
2189,Sandanand Viswanath,56,45,0,0,1512,139,9,81.70718619,9.16,23,14,102.66,30,272
2190,Christopher J Adams,48,43,0,0,1325,144,17.75,41.70718619,8.15,9,54,82.66,18,287
2191,Michael John Smith,12,2,0,0,2062,159,14,63.03718619,8.13,128,14,93.06,36,179
2192,Ashraf Ali,60,143,0,0,2149,135,17.25,69.70718619,9.18,101,73,94.66,41,253
2193,Subash Prasad Khakurel,25,98,1,1,1446,130,34.5,97.70718619,7.6,222,45,110.66,35,230
2194,Fiqre S Crockwell,33,81,0,2,1160,104,34,35.70718619,8.1,124,43,79.66,13,289
2195,Oli J Hairs,27,106,0,0,1319,100,13.6,80.70718619,4.65,198,23,101.96,41,274
2196,Nurul Hasan,25,56,0,2,1277,70,34,87.70718619,8.02,185,17,105.66,24,139
2197,Stephen J Cook,65,122,0,0,1780,118,16.75,42.37718619,0.56,199,47,81.66,58,94
2198,Sean G Davies,45,94,0,1,2117,173,16.75,83.70718619,8.13,105,24,103.66,25,145
2199,Victor Pollard,73,5,1,1,1319,145,33.5,55.70718619,9.16,228,54,89.66,47,47
2200,Waqas Khan,19,87,0,0,1358,137,16.75,21.70718619,8.64,64,30,72.66,32,83
2201,Akhtar Sarfraz,43,12,0,1,1428,99,16.5,53.70718619,8.13,176,45,88.66,26,222
2202,Saeed Azad,52,121,0,0,1359,131,16.25,39.70718619,8.02,71,19,81.66,21,242
2203,Rana Omer Hussain,34,33,0,0,1672,143,9,49.70718619,1.65,203,50,86.66,36,180
2204,Peter D McGlashan,39,54,1,1,1094,51,63,62.70718619,7.36,66,14,92.96,24,41
2205,Mohammad Q Sheikh,34,120,0,0,1839,140,10.5,29.70718619,8.16,185,75,76.66,29,229
2206,Adnan Akmal,33,42,0,0,1191,89,20.67,39.37718619,4.06,235,63,81.16,16,129
2207,Peter G Coman,75,58,0,2,1265,104,20.67,56.37718619,6.56,107,22,89.86,44,167
2208,Shaheedur Rahman,66,93,0,0,1416,108,31,20.37718619,10.5,167,25,69.66,12,149
2209,James D Love,63,89,0,0,1268,100,20.33,44.03718619,9.16,138,18,83.76,24,137
2210,Shakeel Ahmed,47,65,0,0,1582,128,30.5,20.37718619,5.064,176,26,69.66,30,186
2211,Laxman Sreekumar,31,33,0,1,1628,73,15.25,31.70718619,9.71,234,35,77.66,5,154
2212,Errol L R Stewart,49,56,0,0,1785,116,15.25,38.03718619,6.495,243,30,80.76,41,159
2213,James J Celestine,45,2,0,2,1218,134,7.5,45.70718619,3.87,246,59,84.66,20,80
2214,Humayun Farhat,38,31,0,2,1591,56,20,45.70718619,7.03,258,37,84.66,16,64
2215,Abdul Jabbar,36,124,0,1,832,82,29.5,101.7071862,8.06,98,51,112.66,7,273
2216,Roland O Butcher,65,24,1,0,1225,68,19.33,37.70718619,8.16,255,35,80.66,49,51
2217,Tinotenda M K Mawoyo,33,121,0,0,1362,160,8.29,14.03718619,4.94,236,64,68.76,21,109
2218,David Murphy,29,33,0,0,1801,118,11.6,43.70718619,8.12,111,17,83.66,42,51
2219,Saqlain Haider,31,7,0,0,1296,77,14.5,35.70718619,4.67,125,39,79.66,15,134
2220,Melt van Schoor,51,66,0,1,981,111,14.5,55.37718619,9.16,48,53,89.16,33,59
2221,Ryan S Haire,37,64,1,1,1500,72,28,31.70718619,8.35,124,51,77.66,36,72
2222,Mark W Douglas,50,2,0,1,1471,123,9.17,37.70718619,7.96,217,37,80.66,37,94
2223,Faiz Yakub Fazal,33,91,1,1,1298,61,10.52,68.37718619,10.61,75,43,95.86,23,159
2224,Tafadzwa V Mufambisi,32,21,0,0,1668,90,9.17,49.70718619,11.64,250,12,86.66,21,244
2225,Steven J Palframan,48,108,0,0,829,80,13.75,75.70718619,8.46,50,9,99.66,10,225
2226,Abdul Shakoor,33,72,0,1,1487,102,18,37.70718619,7.23,243,14,80.66,26,151
2227,Ryan J Campbell,47,130,0,0,1292,70,27,37.70718619,4.68,179,65,80.66,18,49
2228,Robert W T Key,39,100,0,0,1325,135,10.8,39.70718619,10.35,246,20,81.66,38,45
2229,Mohammad Iqbal,45,79,0,0,954,80,10.8,33.70718619,8.96,27,29,78.66,18,100
