ID,Name,Age,100s,50s,6s,Balls,Balls Faced,Bat_Average,Bowl_Strike_rate,Economy_Rate,Innings,Maidens,Overs,Runs,Wickets
2230,Jatin V Paranjpe,46,23,0,1,1443,91,18,43.70718619,7.12,168,19,83.66,16,261
2231,Robert G Samuels,47,21,0,1,1497,63,18,35.70718619,2.67,119,25,79.66,20,114
2232,Ghulam Ali,52,138,0,0,1187,121,17.67,50.03718619,1.03,12,46,86.76,14,238
2233,Chadwick Antonio Kirkpatrick Walton,33,7,0,0,1135,86,6.63,51.70718619,7.034,227,18,87.66,23,33
2234,Ashley J Woodcock,72,131,1,1,1669,67,53,37.70718619,8.16,150,48,80.66,35,127
2235,Deep Dasgupta,41,15,0,0,1004,82,17,87.70718619,5.064,13,45,105.66,29,225
2236,Cheteshwar Arvind Pujara,31,145,0,0,1026,130,10.2,58.37718619,9.71,116,26,,19,302
2237,Nolan E Clarke,70,24,0,1,1085,112,10,93.37718619,6.495,185,33,108.16,19,187
2238,Jack G Heron,70,69,0,0,,163,8.33,71.70718619,3.87,164,52,97.66,9,104
2239,Philip A Horne,59,68,0,0,988,122,12.5,41.70718619,7.03,191,43,82.66,14,209
2240,Zeeshan Siddiqi,42,32,0,1,1684,111,25,53.70718619,7.964,55,55,88.66,17,192
2241,Devang J Gandhi,47,141,0,0,814,97,16.33,56.70718619,1.035,130,49,89.96,10,45
2242,Dammika Ranatunga,56,62,0,0,1016,156,12.25,35.03718619,8.27,50,45,79.06,20,305
2243,Marcelis M C Schewe,49,13,0,0,888,68,16.33,61.70718619,9.35,30,39,92.66,17,67
2244,Saurabh S Tiwary,29,61,0,1,1755,56,10.52,19.37718619,8.13,180,10,71.16,8,102
2245,John H Hampshire,78,92,0,0,1160,86,24,18.03718619,5.034,49,19,70.76,22,164
2246,Michael G Vandort,39,91,0,0,1292,117,48,39.70718619,8.29,110,59,81.66,10,96
2247,John J Whitaker,56,35,0,1,1160,65,48,41.70718619,7.36,130,49,82.66,9,179
2248,Zulqarnain Haider,32,81,0,0,1642,68,24,25.70718619,4.22,217,72,74.66,48,76
2249,Franklym A Dennis,71,6,0,0,840,171,15.67,121.7071862,1.36,93,49,102.66,17,288
2250,Edward R Fernando,75,37,0,0,794,66,15.67,97.70718619,8.66,53,45,94.66,29,257
2251,Jawahir Shah,,58,0,0,1036,118,15.33,80.70718619,9.55,212,40,88.86,31,123
2252,Karun Kaladharan Nair,27,91,0,0,1242,88,23,43.70718619,7.12,87,22,76.66,28,84
2253,Ian R Redpath,77,52,0,0,1378,67,9.2,93.20718619,6.56,88,23,92.96,30,217
2254,Morne Karg,41,45,0,1,1516,65,22.5,59.20718619,1.95,239,27,81.76,38,243
2255,David A Murray,68,76,0,0,897,132,9,61.70718619,4.16,125,54,82.66,,48
2256,Rory D McCann,34,129,0,0,889,77,11,133.7071862,5.55,None,58,106.66,26,87
2257,Riaz H Poonawala,57,118,0,0,1078,56,22,31.70718619,3.26,None,18,72.66,22,188
2258,Salman Faris,33,131,0,0,1451,79,14.33,88.70718619,8.19,None,70,91.66,24,113
2259,Wilfred N Slack,15,79,0,1,1278,85,21.5,66.20718619,9.18,178,28,83.96,12,294
2260,Stephan J Swanepoel,37,136,0,0,745,94,8.6,22.70718619,4.39,123,66,69.66,39,41
2261,Anwar Hossain,35,128,0,0,612,106,42,91.70718619,7.19,238,49,92.66,20,155
2262,Azmat Rana,67,100,0,0,1278,73,42,85.70718619,5.79,56,34,90.66,21,114
2263,Mark H Richardson,47,95,0,0,1376,97,10.5,82.70718619,4.67,257,59,89.66,13,64
2264,James S Foster,38,41,0,0,1315,71,13.67,71.20718619,8.49,241,17,85.76,23,101
2265,Stewart P Heaney,38,9,0,0,1513,92,10.25,25.70718619,7.39,50,13,70.66,18,305
2266,Rishabh Rajendra Pant,21,8,0,1,1236,31,20.5,20.70718619,7.34,236,23,68.86,31,147
2267,Wriddhiman Prasanta Saha,34,122,0,0,1311,56,13.67,40.70718619,9.56,208,25,75.66,12,275
2268,Shafiq Ahmed,69,136,0,0,1464,91,13.67,6.707186189,7.103,211,43,64.06,26,103
2269,Malhar L Patel,35,45,0,0,832,95,13.33,5.207186189,5.67,250,56,63.76,20,99
2270,Stephen J Rixon,65,43,0,0,956,98,13.33,34.70718619,8.25,106,49,73.66,3,71
2271,Daniel James ter Braak,28,128,0,0,924,94,20,15.20718619,4.65,136,48,66.96,10,15
2272,Gavin A Briant,49,106,0,0,1304,69,13,163.7071862,6.58,117,38,116.66,45,286
2273,Shiv S Das,41,139,0,1,1702,77,13,42.70718619,2.67,177,75,76.06,35,165
2274,Neil Kruger,37,106,0,0,954,75,19.5,17.20718619,2.35,129,31,67.76,28,255
2275,Graham D Lloyd,49,53,0,0,1475,80,9.75,122.7071862,5.064,215,60,102.86,27,82
2276,Ramveer Rai,31,149,0,0,1021,124,39,19.70718619,9.71,200,59,68.66,30,79
2277,Reiout H Scholte,51,71,0,0,1420,135,7.8,49.70718619,6.495,146,23,78.66,33,258
2278,Sunil Walford Ambris,25,42,0,0,863,27,10.52,79.70718619,3.87,23,57,88.66,12,40
2279,Christopher J D Chappell,63,47,0,0,1232,143,12.67,37.70718619,7.03,222,49,74.66,24,279
2280,Mohammad Aslam,57,96,0,0,1011,73,9.5,61.70718619,,111,10,82.66,21,46
2281,Sudhir S Naik,74,143,0,0,1054,68,19,52.70718619,,198,63,79.66,33,142
2282,Samuel Walusimbi,,76,0,0,963,124,12.67,79.70718619,,263,30,88.66,42,75
2283,Peter N Webb,61,35,0,0,1065,101,9.5,49.70718619,,254,64,78.66,9,209
2284,Tinashe Stephen Kamunhukamwe,23,61,0,2,779,49,18.5,142.7071862,,98,25,109.66,20,137
2285,Shahid Anwar,50,56,0,0,952,44,37,61.70718619,,176,48,82.66,31,38
2286,David J White,57,23,0,0,1123,97,12.33,100.7071862,,234,44,95.66,19,275
2287,Ankur Vasishta,37,97,0,0,1058,69,12,57.70718619,,123,63,81.06,26,137
2288,Ganesh Mylvaganam,52,47,0,0,700,92,12,61.70718619,,196,36,82.66,22,22
2289,Azeem R Pitcher,38,77,0,1,970,89,9,22.70718619,,157,21,69.66,10,185
2290,Jamie O Troughton,40,25,0,0,1475,76,9,27.20718619,,44,53,70.96,44,123
2291,Binod Bhandari,29,4,0,0,1112,77,11.67,85.70718619,,54,32,90.66,6,286
2292,Cameron McAuslan,20,46,0,0,541,72,17.5,27.70718619,,212,45,,18,49
2293,Maurits W A van Nierop,35,106,0,1,1005,49,35,127.7071862,,125,50,104.66,24,129
2294,Basnayake S M Warnapura,39,36,0,0,973,76,11.67,94.70718619,,168,4,93.66,18,77
2295,Rohan P Alexander,46,55,0,0,1305,75,17,52.70718619,,70,48,79.66,,106
2296,Atiq-Uz-Zaman,43,14,0,0,1746,36,17,105.7071862,,154,21,97.06,20,43
2297,Bruce N French,59,17,0,0,1070,71,6.8,67.70718619,,146,15,84.66,33,186
2298,Timothy T Smart,46,93,0,0,1319,94,17,79.70718619,1.65,101,30,88.66,31,145
2299,Treadwell Gibbons,33,14,0,0,1197,98,16.5,70.70718619,7.36,209,14,85.66,12,220
2300,Gerald E Peckover,63,131,0,0,1055,54,16.5,16.70718619,8.16,63,63,67.66,41,206
2301,Tim Louis Seifert,24,115,0,1,849,27,16.5,148.7071862,4.06,73,37,111.66,36,167
2302,James D Siddons,54,99,0,0,1131,37,32,79.70718619,6.56,93,63,88.66,16,236
2303,Sean P Terry,27,16,0,0,1005,67,6.4,61.70718619,10.5,86,38,82.66,18,175
2304,Hettiarachige M Goonatillake,66,18,0,0,1113,58,31,46.70718619,9.16,133,30,77.66,35,68
2305,Christiaan Jonker,32,122,0,1,992,33,15.5,76.20718619,5.064,44,40,87.16,31,247
2306,Mohamed N Nawaz,45,64,0,0,955,71,15.5,85.70718619,9.71,73,60,90.66,33,248
2307,Roger D Woolley,64,114,0,0,1071,38,31,67.70718619,6.495,256,65,84.66,34,33
2308,Mandy Yachad,58,67,0,0,1081,77,31,31.70718619,3.87,181,56,72.66,4,164
2309,Manoj Cheruparambil,39,40,0,1,None,52,15,37.70718619,7.03,149,22,74.66,25,48
2310,Irvine T Shillingford,74,127,0,0,1358,38,15,118.7071862,8.06,190,13,101.66,20,119
2311,Imran Abbas,40,119,0,0,1117,63,14.5,67.70718619,8.16,44,20,84.66,34,139
2312,Dominick I Joyce,37,92,0,0,1033,56,9.67,31.70718619,4.94,32,57,72.66,33,297
2313,Kevin J Wright,65,48,0,0,987,52,14.5,37.70718619,8.12,212,55,74.66,33,145
2314,James D Hall,30,99,0,0,960,75,9.33,91.70718619,4.67,190,60,92.66,20,74
2315,Taslim Arif,13,135,0,0,1047,58,14,43.70718619,,157,62,76.66,34,240
2316,Scott Andrew Edwards,22,95,0,0,1049,34,13.5,34.70718619,,252,20,73.66,32,235
2317,Trevor J Franklin,56,36,0,0,739,89,9,85.70718619,,53,22,83.66,33,217
2318,Hewasandatchige Asiri Prasanna Wishvanath Jayawardene,39,41,0,0,1073,44,5.4,25.70718619,,171,16,70.66,4,191
2319,Barry G Hadlee,77,121,0,0,1064,93,26,61.70718619,,32,51,82.66,15,283
2320,Shanan L Stewart,36,15,0,0,699,59,6.5,61.70718619,,31,49,82.66,28,172
2321,Richard J Blakey,52,73,0,0,1439,50,12.5,91.70718619,,23,40,92.66,23,169
2322,Jawad J Dawood,36,24,0,2,1529,19,10.52,51.70718619,,248,24,79.06,18,170
2323,Nasir Ahmed,55,107,0,0,958,62,12.5,40.70718619,,195,20,75.66,18,281
2324,Anil K Sah,20,38,0,0,1222,35,12.5,34.70718619,,128,46,73.66,30,243
2325,Mark R Benson,60,35,0,0,901,58,24,95.70718619,,50,57,91.66,29,31
2326,Nic Pothas,45,79,0,0,677,41,24,112.7071862,,249,36,99.66,25,204
2327,Rafiqul Alam,61,124,0,0,983,63,12,46.70718619,,79,11,77.66,29,192
2328,Alvin E Greenidge,62,25,0,0,1087,33,23,31.70718619,,132,11,72.66,25,29
2329,Steve J Massiah,39,79,0,0,828,44,11.5,46.70718619,,124,31,77.66,30,26
2330,Ungamandadige N K Fernando,48,86,0,0,769,25,10.52,28.70718619,,211,27,71.66,14,57
2331,Mohammad Salman,37,101,0,0,1588,39,11,70.70718619,,137,71,85.66,52,183
2332,Colin M Wells,59,149,0,0,861,44,11,31.70718619,,35,62,72.66,11,294
2333,Ashton James Turner,26,90,0,1,1247,23,21,49.70718619,,242,45,78.66,19,292
2334,Mark R Johnson,55,71,0,0,1029,19,10,49.20718619,,44,71,78.16,40,221
2335,Bryan M Mauricette,72,118,0,1,565,68,6.67,55.70718619,,127,33,80.66,21,31
2336,Nazmul Hossain Shanto,20,126,0,0,639,45,6.67,16.70718619,,213,29,67.66,16,95
2337,Iain L Philip,60,81,0,0,1500,89,6.67,108.2071862,,203,32,97.96,34,190
2338,Rizwan-Uz-Zaman,56,46,0,0,905,129,6.67,82.70718619,,182,49,89.66,34,49
2339,Abdur F Sattaur,53,115,0,1,1075,60,6.67,58.70718619,,150,65,81.66,13,277
2340,Parthasarathy H Sharma,20,72,0,0,764,39,10,70.70718619,,60,53,85.66,10,99
2341,Ronald G A Headley,79,1,0,0,656,41,19,88.70718619,,100,38,91.66,10,46
2342,Sundeep Jora,17,112,0,1,1140,20,19,85.70718619,,148,34,83.66,18,117
2343,Michael Jonathon Smith,52,None,0,0,1083,85,3.8,19.70718619,,199,34,68.66,31,49
2344,Friday Kasteni,30,74,0,0,1549,42,6,58.70718619,,253,28,81.66,17,229
2345,Saleem Pervez,24,122,0,0,895,39,18,57.70718619,,228,44,76.66,21,172
2346,Karl Whatham,37,83,0,0,722,41,18,31.70718619,,81,28,72.66,12,297
2347,Zulquarnain,56,55,0,1,1027,30,6,73.70718619,,202,40,86.66,39,104
2348,Tariq Iqbal,54,29,0,0,839,52,8.5,31.70718619,,205,17,72.66,19,86
2349,Rohan S A Jayasekera,61,26,0,0,876,42,17,22.70718619,,161,42,69.66,31,312
2350,Robert W Anderson,70,115,0,0,1036,46,16,79.70718619,,121,16,88.66,13,193
2351,Jignesh H Desai,44,25,0,0,640,38,16,40.70718619,,148,23,75.66,8,65
2352,S B Lama,46,24,0,0,849,48,10.52,31.70718619,,238,34,72.66,24,54
2353,Vikrant Shetty,35,14,0,0,632,29,8,64.70718619,,33,47,83.66,17,29
2354,Shubman Gill,19,67,0,0,520,32,8,25.70718619,,178,40,70.66,19,189
2355,Sujith B Somasunder,46,63,0,0,None,63,8,70.70718619,,184,25,85.66,14,138
2356,Brian W Luckhurst,1,3,0,0,None,69,5,31.70718619,,52,19,70.06,9,278
2357,Eldeniya Medagedara Dilshan Yasika Munaweera,29,3,0,0,None,29,7.5,56.70718619,,177,23,80.86,18,237
2358,Nurul Abedin,54,3,0,0,None,55,3.75,31.70718619,,134,38,72.66,22,215
2359,Hamish D Rutherford,29,3,0,0,806,56,3.75,175.7071862,,13,39,120.66,25,281
2360,Sajjad Ahmed,44,3,0,0,793,46,7.5,24.20718619,,90,56,69.96,15,131
2361,David M Smith,63,77,0,0,978,40,15,49.20718619,,121,34,78.16,8,151
2362,Lesley W Stokkers,31,27,0,0,657,40,10.52,52.20718619,,175,28,79.16,8,165
2363,Tariq Javed,69,29,0,0,1115,77,5,28.70718619,,133,19,71.66,20,296
2364,Alan P Wells,57,59,0,0,1026,10,15,68.20718619,,72,None,84.76,6,116
2365,Asghar Ali,47,60,0,0,1243,53,7,31.70718619,,190,15,72.66,18,70
2366,Asif Mahmood,43,2,0,0,1108,34,7,25.70718619,,238,23,70.66,4,44
2367,Indika P P Batuwitarachchi,44,2,0,0,1275,48,7,31.70718619,5.064,185,36,72.66,18,151
2368,Alan R Butcher,65,2,0,0,1291,26,14,61.70718619,9.71,10,59,82.66,26,167
2369,Haninder S Dhillon,42,39,0,0,793,35,7,85.70718619,6.495,80,16,90.66,11,40
2370,Ebrahim A Essop-Adam,50,55,0,0,870,15,10.52,37.70718619,3.87,73,25,68.66,27,49
2371,Graham E Vivian,73,69,0,0,938,30,14,3.707186189,7.03,37,59,62.86,22,293
2372,Zahid Razzak,51,85,0,0,686,44,4.67,30.70718619,,149,21,,18,89
2373,Glenn A Bishop,59,81,0,0,981,44,6.5,59.70718619,,240,27,72.06,24,107
2374,Surendra Seeraj,45,31,0,0,870,12,10.52,61.70718619,,202,29,72.66,,253
2375,Usman Salahuddin,28,58,0,0,707,28,6.5,7.707186189,,48,22,63.66,10,125
2376,Dwight M Basden,46,14,0,0,869,40,6,21.70718619,,147,59,65.86,15,205
2377,Glen K Bruk-Jackson,49,118,0,0,958,33,12,5.707186189,,65,44,63.06,32,184
2378,Ian C Davis,65,17,0,0,803,35,6,21.70718619,,130,41,65.86,11,175
2379,Ashley M de Silva,55,48,0,0,630,24,6,176.7071862,,34,27,91.76,13,144
2380,Imtiaz Abbasi,51,121,0,0,813,38,6,9.707186189,,155,19,63.86,26,212
2381,Javed Qadeer,42,38,0,0,1000,23,12,180.7071862,,217,21,92.16,38,224
2382,Praful S Mehta,78,113,0,0,790,41,12,157.7071862,,198,29,88.66,6,26
2383,Naeemuddin Aslam,36,107,0,0,619,31,6,50.70718619,,226,68,70.76,15,170
2384,Noor-ul-Haq,26,96,0,0,847,58,6,13.70718619,,223,22,64.66,11,233
2385,Pawan Sarraf,18,87,0,0,1148,18,6,43.70718619,,32,46,69.66,32,187
2386,Michael J D Allingham,54,34,0,0,1053,96,3.67,49.70718619,,80,36,70.66,30,26
2387,Arshad Pervez,65,141,0,0,615,47,5.5,13.70718619,,186,45,64.66,26,60
2388,Dylan Evers Budge,23,44,0,0,1514,9,11,112.7071862,,56,61,80.96,16,55
2389,Philip A Emery,54,45,0,0,1008,13,10.52,133.7071862,,186,57,,8,273
2390,Geoffrey W Humpage,64,115,0,0,763,24,5.5,31.70718619,,132,44,67.66,12,62
2391,John A Maclean,72,38,0,0,798,33,11,46.70718619,,233,5,69.96,31,88
2392,Bharat Reddy,64,77,0,0,992,20,10.52,10.70718619,,252,42,63.96,14,255
2393,John Greig Williamson,50,113,0,0,1032,35,5.5,112.7071862,,86,52,80.96,27,95
2394,Timothy R Ambrose,36,91,0,0,954,34,2.5,3.707186189,,54,45,62.86,2,61
2395,Wasim Jaffer,41,37,0,0,746,23,5,202.7071862,,35,27,95.96,35,143
2396,Abhijit V Kale,45,65,0,0,693,22,10,6.707186189,,166,33,63.16,29,249
2397,Neil J MacRae,46,88,0,0,720,36,5,30.70718619,,133,30,67.16,32,183
2398,Cecil A Marshall,79,56,0,0,672,41,5,58.70718619,,132,14,71.96,29,32
2399,Bruce M W Patterson,54,34,0,0,1004,43,3.33,20.70718619,,100,14,65.76,9,177
2400,Tirumalai E Srinivasan,6,76,0,0,919,35,5,55.70718619,,181,32,71.66,2,132
2401,Fahad Usman,42,135,0,0,731,18,4.5,37.70718619,,44,30,68.66,28,202
2402,Faisal Athar,43,112,0,0,820,38,9,115.7071862,5.064,245,7,81.66,5,95
2403,Mohammad Salim,37,63,0,0,743,24,9,101.7071862,9.71,227,68,79.06,37,241
2404,Vaughn B van Jaarsveld,34,118,0,0,704,15,4.5,67.70718619,6.495,174,25,,13,160
2405,K Hussain Butt,42,2,0,0,731,28,4,127.7071862,3.87,75,23,83.66,2,290
2406,Henry Davids,39,96,0,0,553,24,4,73.70718619,7.03,197,58,74.66,15,197
2407,Pankaj Dharmani,44,118,0,0,542,8,8,7.707186189,,173,9,63.66,29,261
2408,Hafizur Rahman,59,103,0,0,669,24,8,39.70718619,,92,53,68.86,9,16
2409,Monte A Lynch,60,64,0,0,583,32,2.67,43.70718619,,43,55,69.66,27,182
2410,Dudley M Vonhagt,53,130,0,0,867,17,8,81.70718619,,181,54,75.86,10,282
2411,Dhiren M Gondaria,24,116,0,0,1180,45,3.5,37.70718619,,220,71,68.66,22,88
2412,Graham A Manou,39,13,0,0,459,6,7,121.7071862,,213,60,82.66,14,138
2413,Jeffrey K Moss,71,70,0,0,781,16,7,75.70718619,,137,63,74.66,25,142
2414,Nick A Statham,43,49,0,0,666,50,2.33,103.7071862,,204,11,79.66,23,220
2415,Robert F Van Oosterom,50,29,0,0,751,27,7,13.70718619,,32,44,64.66,5,46
2416,Wilfred P Diepeveen,33,105,0,0,855,7,6,153.7071862,,153,42,87.86,27,167
2417,Harilal Shah,75,80,0,0,526,56,2,49.70718619,,12,59,70.66,20,137
2418,Pallemoni Krishnamurthy,28,25,0,0,570,13,6,121.7071862,,148,38,82.66,10,274
2419,Aijaz Ali,50,63,0,0,1005,11,2.5,17.70718619,,132,30,64.66,12,64
2420,Royston T Crandon,35,75,0,0,700,9,5,8.707186189,,213,50,63.76,13,47
2421,Nizel Fernandes,42,97,0,0,1102,13,5,123.7071862,,249,50,82.86,27,138
2422,Ikram Ali Khil,18,46,0,0,1260,10,10.52,31.70718619,,127,9,67.66,34,91
2423,Hamish McLeod,Un,138,0,0,945,10,2.5,73.70718619,,186,18,74.66,14,56
2424,Najeeb Tarakai,28,66,0,0,850,18,5,73.70718619,,75,43,74.66,,293
2425,Naumanullah,43,69,0,0,935,4,5,67.70718619,,11,67,73.66,33,250
2426,Gursharan Singh,55,143,0,0,1051,10,4,7.707186189,,115,68,63.66,39,247
2427,Samuel Daly Heazlett,23,81,0,0,609,11,4,109.7071862,,74,16,80.66,8,100
2428,Jahangir Alam,45,45,0,0,983,22,1.33,31.70718619,,62,29,67.66,17,67
2429,Shahzad Khan,38,72,0,0,981,12,4,79.70718619,,10,13,75.66,30,74
2430,Phillipus J R Steyn,51,10,0,0,903,14,4,199.7071862,,10,36,,21,100
2431,Ramchandra Sudhakar Rao,66,135,0,0,369,14,4,61.70718619,,252,53,72.66,33,265
2432,Shiraz Sumar,,19,0,0,466,11,4,49.70718619,,235,33,70.66,32,121
2433,Vinoo A B Tewarie,27,132,0,0,899,22,4,37.70718619,,117,72,68.66,34,303
2434,Sharad Vesawkar,30,26,0,0,756,15,4,103.7071862,,184,45,79.66,6,304
2435,Ranasinghe P A H Wickramaratne,48,50,0,0,729,6,2,121.7071862,,225,30,82.66,36,105
2436,Rustam A Bhatti,29,27,0,0,972,4,10.52,67.70718619,,182,58,73.66,35,90
2437,Ronald T Hart,57,146,0,0,489,29,3,36.70718619,1.65,197,4,68.16,12,93
2438,Peter D Heyn,73,37,0,0,870,24,1.5,74.70718619,7.36,137,46,74.76,14,131
2439,Courtney K Kruger,30,51,0,0,797,20,1.5,180.7071862,8.16,176,34,92.16,16,271
2440,Mahbubur Rahman,50,140,0,0,461,8,3,43.70718619,4.06,48,50,69.66,23,252
2441,Manimeldura C Mendis,50,37,0,0,365,2,10.52,151.7071862,6.56,24,,87.66,8,186
2442,Darrin J Murray,51,75,0,0,882,17,3,235.7071862,10.5,97,18,101.66,2,141
2443,Mark J Petrie,29,57,0,0,800,18,1.5,24.70718619,9.16,167,54,66.16,29,211
2444,Rodney E Redmond,74,33,0,0,793,11,3,25.70718619,5.064,118,9,66.66,19,13
2445,Sagar Pun,26,34,0,0,433,20,3,139.7071862,9.71,79,34,85.66,14,246
2446,Hilton W R Cartwright,27,134,0,0,1124,23,1,121.7071862,6.495,None,12,82.66,29,139
2447,Fahad Nawaz,None,9,0,0,761,10,1,115.7071862,3.87,137,61,81.66,29,189
2448,Peter G Gillespie,,9,0,0,912,14,0.5,37.70718619,7.03,148,47,68.66,24,166
2449,Aruna A W Gunawardene,49,9,0,0,982,10,2,73.70718619,8.06,84,61,74.66,27,174
2450,Masood Iqbal,31,89,0,0,1067,2,2,160.7071862,8.16,85,22,88.96,24,208
2451,Daniel W O Morgan,45,16,0,0,489,11,1,85.70718619,4.94,138,19,76.66,26,124
2452,Nasir Javed,52,106,0,0,676,19,10.52,103.7071862,8.12,218,57,79.66,5,275
2453,Milton R Pydanna,69,102,0,0,940,3,10.52,109.7071862,4.67,239,47,80.66,30,113
2454,Austin C L Richards,35,40,0,0,892,2,2,23.70718619,7.34,68,58,66.06,33,270
2455,James Norman Knight Shannon,29,52,0,0,858,8,2,115.7071862,2.54,198,31,81.66,20,230
2456,Mithra De S Wettimuny,67,125,0,0,567,11,2,67.70718619,8.65,15,28,73.66,21,25
2457,Davenell F Whatmore,64,None,0,0,628,6,2,79.70718619,3.79,34,43,,30,120
2458,Anguppulige Gamini Dayantha Wickremasinghe,53,116,0,0,748,10,2,57.70718619,8.42,79,8,69.66,12,22
2459,Abdul Rehman,32,0,0,0,606,13,1,103.7071862,9.75,34,64,79.66,31,293
2460,Alawi Shukri,29,0,0,0,437,3,1,55.70718619,15.34,132,66,71.66,9,245
2461,Michael C Cowdrey,4,0,0,0,518,5,1,217.7071862,11.65,50,46,98.66,23,44
2462,Chamara I Dunusinghe,48,0,0,0,693,1,1,67.70718619,9.78,215,37,73.66,21,231
2463,Matthew T G Elliott,47,0,0,0,694,6,1,55.70718619,7.16,220,70,71.66,32,271
2464,Gurdeep Singh,21,60,0,0,1054,23,1,25.70718619,5.68,195,64,66.66,14,259
2465,Sunil A Jayasinghe,20,107,0,0,638,3,1,151.7071862,7.11,206,24,87.66,14,166
2466,Mahmood Hamid,50,None,0,0,609,6,1,72.70718619,9.65,15,12,74.16,16,169
2467,Moniruzzaman,42,2,0,0,846,20,0.5,31.70718619,7.35,239,48,67.66,7,24
2468,Nasim-Ul-Ghani,77,2,0,0,1231,8,1,115.7071862,9.89,92,53,81.66,6,73
2469,Naman V Ojha,35,2,0,0,632,7,1,91.70718619,5.064,164,31,77.66,14,107
2470,Ryan Ramdass,35,2,0,0,805,9,1,91.70718619,9.71,45,36,77.66,30,238
2471,Yunus Badat,,2,0,0,534,7,0.5,61.70718619,6.495,175,34,72.66,5,293
2472,Zafar S Ansari,27,17,0,0,392,0,10.52,31.70718619,3.87,190,29,67.66,31,134
2473,Mark D Bailey,48,58,0,0,640,0,10.52,61.70718619,7.03,242,59,72.66,2,280
2474,Showkat Baksh,78,32,0,0,457,6,0,174.7071862,8.21,118,22,91.16,26,119
2475,Weerahandige Inol Avishka Fernando,20,70,0,0,605,2,0,97.70718619,5.24,21,48,78.66,27,190
2476,Ryan Flannigan,30,25,0,0,679,2,0,103.7071862,6.31,142,26,,11,154
2477,Robert G Hart,44,121,0,0,590,9,0,19.70718619,7.02,45,19,65.66,8,298
2478,Harun-Ur-Rashid,50,15,0,0,643,17,0,61.70718619,9.78,67,11,72.66,11,72
2479,Roy Kaia,27,113,0,0,653,0,10.52,37.70718619,1.65,180,33,68.66,14,189
2480,James Alexander McCollum,23,131,0,0,634,1,0,79.70718619,7.36,24,61,75.66,27,188
2481,Mohibullah Paak,26,42,0,0,444,0,10.52,57.70718619,8.16,183,42,69.66,30,286
2482,Nasir Hameed,49,26,0,0,647,1,0,67.70718619,4.06,65,24,73.66,11,164
2483,Norman M Parker,70,6,0,0,456,3,0,159.7071862,6.56,111,59,88.86,28,220
2484,Nicholas Pooran,23,6,0,0,823,4,0,49.70718619,10.5,47,56,70.66,33,225
2485,Andrew G Puttick,38,6,0,0,518,5,0,79.70718619,9.16,207,60,75.66,28,196
2486,Rafiqul Islam,41,6,0,0,741,5,0,43.70718619,5.064,133,43,69.66,7,86
2487,Darren R Ramsammy,26,6,0,0,411,3,0,31.70718619,9.71,190,62,67.66,24,285
2488,Sayed Ahmad Shirzad,24,6,0,0,524,0,10.52,109.7071862,6.495,31,62,80.66,16,233
2489,Shadab Kabir,41,28,0,0,725,5,0,31.70718619,3.87,99,26,,21,186
2490,Simandeep Singh,23,57,0,0,579,7,0,109.7071862,7.03,30,16,80.66,30,168
2491,Roger W Tolchard,72,139,0,0,870,0,10.52,31.70718619,8.06,156,44,67.66,14,185
2492,Riaan Walters,38,110,0,0,633,5,0,223.7071862,8.16,62,53,99.66,31,194
